Distance,Source System,L-Pad,M-pad,P-pad,Fed,Imp,All,Ind,Target/Sources,RES/rings,URL 
69.66,Soniteru,,12,12,,5,,2,Guttors / 2,1 ring,https://edtools.cc/pve?s=Guttors&a=rt
71.66,Wuthielo Ku,174,,,,3,,3,Ogoni / 2,7 rings,https://edtools.cc/pve?s=Ogoni&a=rt
73.40,Gefjong,,"3,147","3,067",,3,,3,Bhadal / 2,2 rings,https://edtools.cc/pve?s=Bhadal&a=rt
74.67,G 267-24,,95,163,,3,,4,Enaworka / 2,No rings,https://edtools.cc/pve?s=Enaworka&a=rt
75.08,HR 2848,"14,731",,,,4,,3,Celtibia / 2,No rings,https://edtools.cc/pve?s=Celtibia&a=rt
75.46,HIP 1976,,85,148,,4,,3,Tagoman / 2,No rings,https://edtools.cc/pve?s=Tagoman&a=rt
76.71,HIP 117865,26,476,26,,3,,4,Zhou Wang / 2,No rings,https://edtools.cc/pve?s=Zhou+Wang&a=rt
77.88,HIP 115917,564,,,,3,,4,HIP 116377 / 2,5 rings,https://edtools.cc/pve?s=HIP+116377&a=rt
78.57,HIP 115275,,49,"2,825",,4,,3,HIP 116377 / 2,5 rings,https://edtools.cc/pve?s=HIP+116377&a=rt
78.99,Njambalba,,"32,039","1,719",,5,,2,Tagoman / 2,No rings,https://edtools.cc/pve?s=Tagoman&a=rt
79.72,Candiae,,655,625,,3,,4,HIP 5184 / 2,1 ring,https://edtools.cc/pve?s=HIP+5184&a=rt
80.42,Jetenomeri,,60,60,,2,,4,Dilwicani / 2,No rings,https://edtools.cc/pve?s=Dilwicani&a=rt
80.43,HIP 9741,"181,173","180,813","180,790",,4,,3,Bhadal / 2,2 rings,https://edtools.cc/pve?s=Bhadal&a=rt
80.74,Pi Piscis Austrini,"95,162","95,274","95,275",,3,,4,Addo / 3,No rings,https://edtools.cc/pve?s=Addo&a=rt
81.83,Chau Yu,86,130,526,,4,,3,Dilwicani / 2,No rings,https://edtools.cc/pve?s=Dilwicani&a=rt
82.85,Ga Gautas,,25,"1,601",,1,,6,Seket / 2,2 rings,https://edtools.cc/pve?s=Seket&a=rt
82.91,Miratres,,"416,237",,,5,,2,Ch'unchuan / 2,No rings,https://edtools.cc/pve?s=Ch%27unchuan&a=rt
83.65,HIP 4892,,986,986,,3,,4,HIP 5184 / 2,1 ring,https://edtools.cc/pve?s=HIP+5184&a=rt
84.50,HIP 10492,"2,267","2,533","2,415",,3,,4,Eskite / 2,5 rings,https://edtools.cc/pve?s=Eskite&a=rt
84.82,Holva,"23,218",,,,3,,4,Cornae / 2,1 ring,https://edtools.cc/pve?s=Cornae&a=rt
86.63,Canta Athis,342,458,"1,898",,3,,4,Ch'unchuan / 2,No rings,https://edtools.cc/pve?s=Ch%27unchuan&a=rt
87.18,LTT 9397,,878,918,3,1,,3,Addo / 3,No rings,https://edtools.cc/pve?s=Addo&a=rt
87.42,Chimbia,,609,"1,231",,4,,3,HIP 105439 / 2,3 rings,https://edtools.cc/pve?s=HIP+105439&a=rt
87.56,Tamanaco,,"1,074",,,2,,5,Eingasan / 2,1 ring,https://edtools.cc/pve?s=Eingasan&a=rt
87.89,Lethe,,"2,672","1,859",1,3,,3,Triton / 2,No rings,https://edtools.cc/pve?s=Triton&a=rt
88.27,Alectrona,459,318,321,3,1,,3,Viracocha / 2,No rings,https://edtools.cc/pve?s=Viracocha&a=rt
89.49,Arugundji,51,95,51,,2,,5,Seket / 2,2 rings,https://edtools.cc/pve?s=Seket&a=rt
89.99,LTT 9821,,508,,2,1,,4,Huichi / 2,No rings,https://edtools.cc/pve?s=Huichi&a=rt
90.04,LTT 9145,,"42,273","42,144",3,,,4,Addo / 3,No rings,https://edtools.cc/pve?s=Addo&a=rt
90.06,Ix Tub Tun,,"2,715","2,704",,3,,4,Gungo / 2,CNB,https://edtools.cc/pve?s=Gungo&a=rt
90.14,Dango,,"516,341","2,640",,4,,3,Zhou Wang / 2,No rings,https://edtools.cc/pve?s=Zhou+Wang&a=rt
91.34,Burious,,13,"3,668",,3,,4,Sokatines / 2,No rings,https://edtools.cc/pve?s=Sokatines&a=rt
91.53,Mbooni,,,"1,489",,,,1,Viracocha / 2,No rings,https://edtools.cc/pve?s=Viracocha&a=rt
91.75,Cadubii,122,,"31,205",,3,,4,Xue Davokje / 2,4 rings,https://edtools.cc/pve?s=Xue+Davokje&a=rt
92.14,HIP 114614,,"3,874",,,4,,3,HIP 114040 / 4,No rings,https://edtools.cc/pve?s=HIP+114040&a=rt
92.36,Skeller,803,782,"1,119",1,2,,3,Cariangan / 2,No rings,https://edtools.cc/pve?s=Cariangan&a=rt
93.25,Dangarla,"1,316",,,1,1,,5,Triton / 2,No rings,https://edtools.cc/pve?s=Triton&a=rt
93.33,HIP 15286,,"4,215","4,215",,4,,3,Pilati / 2,No rings,https://edtools.cc/pve?s=Pilati&a=rt
93.78,Lohra,,329,,,4,,3,Eskite / 2,5 rings,https://edtools.cc/pve?s=Eskite&a=rt
94.52,Chang Hsien,,853,"2,148",,2,,5,HIP 105439 / 2,3 rings,https://edtools.cc/pve?s=HIP+105439&a=rt
94.68,Nauacan,"2,716",,,2,,,5,Pilati / 2,No rings,https://edtools.cc/pve?s=Pilati&a=rt
94.79,Cozaanat,,"459,165",571,,4,,3,Ngadji / 2,1 ring,https://edtools.cc/pve?s=Ngadji&a=rt
95.45,Gabiko,796,,"1,903",,3,,4,Volcadra / 2,No rings,https://edtools.cc/pve?s=Volcadra&a=rt
96.14,HIP 11537,,"2,332",,,4,,2,Cornae / 2,1 ring,https://edtools.cc/pve?s=Cornae&a=rt
97.00,Cantine,,326,444,,6,,1,Eingasan / 2,1 ring,https://edtools.cc/pve?s=Eingasan&a=rt
97.02,Madri,,"1,340","1,747",,5,,2,Gungo / 2,CNB,https://edtools.cc/pve?s=Gungo&a=rt
97.10,Amentsura,,"2,557",,,4,,2,HIP 114040 / 4,No rings,https://edtools.cc/pve?s=HIP+114040&a=rt
97.28,Nithhogg,,"7,087",,,5,,2,HIP 101806 / 2,No rings,https://edtools.cc/pve?s=HIP+101806&a=rt
97.88,HIP 19334,,44,89,,3,,4,HIP 18713 / 2,No rings,https://edtools.cc/pve?s=HIP+18713&a=rt
98.04,Zelao,,213,213,,3,,2,Teletes / 2,5 rings,https://edtools.cc/pve?s=Teletes&a=rt
98.40,Matikuoluk,"7,025","7,677","6,820",2,2,,3,Tobala / 2,3 rings,https://edtools.cc/pve?s=Tobala&a=rt
98.69,Kumui,,171,166,1,3,,3,Ao Jung Mu / 2,5 rings,https://edtools.cc/pve?s=Ao+Jung+Mu&a=rt
98.77,Lei Kax,,707,706,,7,,,Gudus / 2,No rings,https://edtools.cc/pve?s=Gudus&a=rt
99.11,Zhang Yun,,34,46,1,2,,4,Jadliaura / 2,CNB,https://edtools.cc/pve?s=Jadliaura&a=rt
99.97,HIP 108729,318,136,241,,4,,3,HIP 108701 / 3,4 rings,https://edtools.cc/pve?s=HIP+108701&a=rt
100.41,Arevat,321,,321,,4,,3,HR 8993 / 2,2 rings,https://edtools.cc/pve?s=HR+8993&a=rt
100.58,Ndaakoshi,,736,"1,376",,2,,5,HIP 17838 / 2,No rings,https://edtools.cc/pve?s=HIP+17838&a=rt
100.82,Pindilla,,5,"1,206",,3,,3,HIP 114040 / 4,No rings,https://edtools.cc/pve?s=HIP+114040&a=rt
101.66,HIP 109787,,"1,094",842,,2,,5,HIP 108701 / 3,4 rings,https://edtools.cc/pve?s=HIP+108701&a=rt
101.85,Ithertrudhr,,410,,,2,,3,Ngadji / 2,1 ring,https://edtools.cc/pve?s=Ngadji&a=rt
101.92,Bormburrun,,291,291,,3,,4,Sokatines / 2,No rings,https://edtools.cc/pve?s=Sokatines&a=rt
102.00,HIP 4536,,"5,807",,,4,,3,Suttiren / 2,No rings,https://edtools.cc/pve?s=Suttiren&a=rt
102.08,HIP 17621,"17,530","2,393",,1,4,,2,Dian / 2,No rings,https://edtools.cc/pve?s=Dian&a=rt
102.26,Barasi,,252,"1,372",,4,,3,Gudus / 2,No rings,https://edtools.cc/pve?s=Gudus&a=rt
102.41,HR 692,838,"2,033","1,477",3,1,,3,Cariangan / 2,No rings,https://edtools.cc/pve?s=Cariangan&a=rt
102.47,Bikeggirina,203,304,203,,2,,5,HIP 114040 / 4,No rings,https://edtools.cc/pve?s=HIP+114040&a=rt
102.50,LHS 538,748,,787,4,,,3,Huichi / 2,No rings,https://edtools.cc/pve?s=Huichi&a=rt
102.82,HIP 117627,"2,030",,"2,971",,4,,3,Ngewi / 2,5 rings,https://edtools.cc/pve?s=Ngewi&a=rt
102.96,Apurineph,,821,800,,3,,3,Jarnun / 2,No rings,https://edtools.cc/pve?s=Jarnun&a=rt
103.31,Baminyi,,30,744,,3,,4,Xue Davokje / 2,4 rings,https://edtools.cc/pve?s=Xue+Davokje&a=rt
103.31,Laklang,,943,,4,1,,2,Tobala / 2,3 rings,https://edtools.cc/pve?s=Tobala&a=rt
103.87,Patal,,499,697,3,1,,3,Ocainn / 2,No rings,https://edtools.cc/pve?s=Ocainn&a=rt
104.00,Oglan,,"2,488",,,5,,2,Volcadra / 2,No rings,https://edtools.cc/pve?s=Volcadra&a=rt
104.20,HIP 9349,,"2,286","1,689",4,,,3,Ocainn / 2,No rings,https://edtools.cc/pve?s=Ocainn&a=rt
104.30,GD 1192,424,587,424,2,1,,4,HK Aquarii / 2,3 rings,https://edtools.cc/pve?s=HK+Aquarii&a=rt
104.97,Tenoi,,11,,,4,,3,Apach / 2,No rings,https://edtools.cc/pve?s=Apach&a=rt
105.03,Televelis,,32,,,5,,2,Virong / 2,4 rings,https://edtools.cc/pve?s=Virong&a=rt
105.46,Villae,,"194,394","193,963",,4,,3,Gladutjaras / 2,1 ring,https://edtools.cc/pve?s=Gladutjaras&a=rt
105.56,Bruth,,327,491,4,1,,2,HIP 35096 / 3,5 rings,https://edtools.cc/pve?s=HIP+35096&a=rt
105.69,Iboraga,952,"1,253","1,245",,3,,4,Chang / 3,1 ring,https://edtools.cc/pve?s=Chang&a=rt
105.89,Arabarente,,13,24,1,3,,3,HIP 31833 / 2,2 rings,https://edtools.cc/pve?s=HIP+31833&a=rt
106.34,Tjeraridjal,,13,21,,4,,2,HIP 18713 / 2,No rings,https://edtools.cc/pve?s=HIP+18713&a=rt
106.41,Wenadou,,"1,825",,,3,,4,Camulus / 2,2 rings,https://edtools.cc/pve?s=Camulus&a=rt
106.86,Liu Behueno,,367,,,3,,4,HIP 17838 / 2,No rings,https://edtools.cc/pve?s=HIP+17838&a=rt
106.92,HIP 99945,332,58,103,,3,,4,HIP 101806 / 2,No rings,https://edtools.cc/pve?s=HIP+101806&a=rt
107.15,Aequiatalaa,,"18,896",,,3,,2,Teletes / 2,5 rings,https://edtools.cc/pve?s=Teletes&a=rt
107.41,Belata,"1,406","1,160",,,2,,5,Hlock Ek / 2,No rings,https://edtools.cc/pve?s=Hlock+Ek&a=rt
107.57,Yamuluntii,,"11,312",961,1,2,,1,HIP 31833 / 2,2 rings,https://edtools.cc/pve?s=HIP+31833&a=rt
107.62,Silurinmuti,,"1,420",,,4,,3,Virong / 2,4 rings,https://edtools.cc/pve?s=Virong&a=rt
108.07,Tangphonsa,253,343,,,2,,5,Hun Nighu / 2,No rings,https://edtools.cc/pve?s=Hun+Nighu&a=rt
108.94,Changur,,404,"3,441",,4,,3,Jadliaura / 2,CNB,https://edtools.cc/pve?s=Jadliaura&a=rt
109.12,Copityar,937,902,,,4,,3,Ao Jung Mu / 2,5 rings,https://edtools.cc/pve?s=Ao+Jung+Mu&a=rt
109.35,Supenges,,"17,754",,,4,,3,Bjorora / 2,No rings,https://edtools.cc/pve?s=Bjorora&a=rt
110.00,Tibitou,"16,141",,,,3,,4,Kokopatji / 2,No rings,https://edtools.cc/pve?s=Kokopatji&a=rt
110.06,Camulus,39,7,13,,2,,4,Vivates / 2,No rings,https://edtools.cc/pve?s=Vivates&a=rt
110.20,Fidenses,,14,14,,4,,3,HR 8993 / 2,2 rings,https://edtools.cc/pve?s=HR+8993&a=rt
110.66,Veliep,,66,480,,3,,4,Suttiren / 2,No rings,https://edtools.cc/pve?s=Suttiren&a=rt
110.84,Goplang,552,727,552,,1,,6,HIP 108701 / 3,4 rings,https://edtools.cc/pve?s=HIP+108701&a=rt
110.87,LP 762-3,,8,8,4,,,3,HK Aquarii / 2,3 rings,https://edtools.cc/pve?s=HK+Aquarii&a=rt
111.23,Galam,,31,53,,3,,4,Vivates / 2,No rings,https://edtools.cc/pve?s=Vivates&a=rt
111.51,HIP 15438,891,"1,663",338,,3,,4,Nogatyanka / 2,2 rings,https://edtools.cc/pve?s=Nogatyanka&a=rt
111.64,Barayai,,16,30,,4,,3,Dassi / 2,No rings,https://edtools.cc/pve?s=Dassi&a=rt
111.65,Pulaya,915,,"2,328",,2,,5,Hun Nighu / 2,No rings,https://edtools.cc/pve?s=Hun+Nighu&a=rt
111.81,HIP 306,"2,421","3,523","1,394",,4,,3,Nora / 2,3 rings,https://edtools.cc/pve?s=Nora&a=rt
111.97,Bhalanas,,"1,620",224,,4,,2,Lugievisci / 2,1 ring,https://edtools.cc/pve?s=Lugievisci&a=rt
112.04,Njemari,33,44,145,2,1,,4,HIP 35096 / 3,5 rings,https://edtools.cc/pve?s=HIP+35096&a=rt
112.35,Kao Jundji,,"139,855",185,,4,,3,Gladutjaras / 2,1 ring,https://edtools.cc/pve?s=Gladutjaras&a=rt
112.82,Venux,"1,279",,879,1,1,,5,Palis / 2,2 rings,https://edtools.cc/pve?s=Palis&a=rt
112.93,Smeits,,8,,,4,,3,Ngewi / 2,5 rings,https://edtools.cc/pve?s=Ngewi&a=rt
113.00,Cubere,"1,039",202,202,1,,,6,Oxlahatta / 2,No rings,https://edtools.cc/pve?s=Oxlahatta&a=rt
113.28,HIP 92742,"4,368",,,,4,,3,Ingaman / 2,1 ring,https://edtools.cc/pve?s=Ingaman&a=rt
113.48,Ayoro Nage,142,269,142,2,,,5,HIP 4747 / 2,2 rings,https://edtools.cc/pve?s=HIP+4747&a=rt
113.84,Coelesi,,"2,224","3,613",,3,,4,Maasates / 2,No rings,https://edtools.cc/pve?s=Maasates&a=rt
114.32,Kaqchis,,29,24,,5,,2,Chang / 3,1 ring,https://edtools.cc/pve?s=Chang&a=rt
114.46,HIP 6418,"3,290",,"1,780",,3,,5,Libuhchal / 2,No rings,https://edtools.cc/pve?s=Libuhchal&a=rt
114.58,Ixbakah,,854,,,4,,2,Camulus / 2,2 rings,https://edtools.cc/pve?s=Camulus&a=rt
114.70,Panga,,11,11,,4,,3,Libuhchal / 2,No rings,https://edtools.cc/pve?s=Libuhchal&a=rt
115.01,Pakaia,,620,620,,4,,3,Truk / 2,No rings,https://edtools.cc/pve?s=Truk&a=rt
115.17,San Wu Gu,104,144,104,,3,,3,Irukas / 2,No rings,https://edtools.cc/pve?s=Irukas&a=rt
115.29,Djira,41,103,41,,3,,4,Apach / 2,No rings,https://edtools.cc/pve?s=Apach&a=rt
115.54,Lu Yai,,12,35,1,1,,4,Kanomota / 2,2 rings,https://edtools.cc/pve?s=Kanomota&a=rt
115.66,LTT 2042,,"1,257",26,4,,,3,Marana / 2,1 ring,https://edtools.cc/pve?s=Marana&a=rt
115.93,HIP 15357,,241,"50,748",,2,,4,Pech Bean / 2,1 ring,https://edtools.cc/pve?s=Pech+Bean&a=rt
116.45,Kpong,,9,,,2,,3,Nora / 2,3 rings,https://edtools.cc/pve?s=Nora&a=rt
116.76,HIP 17108,"180,670",,"181,092",,3,,4,Pech Bean / 2,1 ring,https://edtools.cc/pve?s=Pech+Bean&a=rt
116.88,Wudjalie,50,67,19,,2,,5,Lugievachis / 2,No rings,https://edtools.cc/pve?s=Lugievachis&a=rt
116.96,Prthi,"6,850",,198,3,,,4,HIP 35096 / 3,5 rings,https://edtools.cc/pve?s=HIP+35096&a=rt
117.11,Yera,,"9,745",,2,4,,1,Palis / 2,2 rings,https://edtools.cc/pve?s=Palis&a=rt
117.14,Ngurui,,252,659,1,1,,5,Dian / 2,No rings,https://edtools.cc/pve?s=Dian&a=rt
117.27,HIP 113293,,"3,461","3,557",,3,,4,HIP 110248 / 2,11 rings,https://edtools.cc/pve?s=HIP+110248&a=rt
117.48,Wiljandiltu,,996,,,4,,3,Groa / 2,4 rings,https://edtools.cc/pve?s=Groa&a=rt
117.49,Ramadillan,,"4,618","4,259",1,3,,2,Hlock Ek / 2,No rings,https://edtools.cc/pve?s=Hlock+Ek&a=rt
117.53,Sceptrum,447,"1,388",447,2,2,,3,LTT 2042 / 2,3 rings,https://edtools.cc/pve?s=LTT+2042&a=rt
117.54,Mi He,,522,"1,643",,3,,2,Kisinga / 2,1 ring,https://edtools.cc/pve?s=Kisinga&a=rt
117.56,Bwilota,,35,"1,371",1,2,,4,Jarnun / 2,No rings,https://edtools.cc/pve?s=Jarnun&a=rt
117.67,P'urhep,,"21,383","21,384",,4,,3,Naikun / 2,2 rings,https://edtools.cc/pve?s=Naikun&a=rt
118.08,Gucumatassa,,812,,,4,,3,Chang / 3,1 ring,https://edtools.cc/pve?s=Chang&a=rt
118.23,Wallicheo,,230,,,4,,1,Bjorora / 2,No rings,https://edtools.cc/pve?s=Bjorora&a=rt
118.44,Nemetati,,11,27,,2,,5,HIP 106700 / 3,10 rings,https://edtools.cc/pve?s=HIP+106700&a=rt
118.53,Thethys,499,,501,2,1,,4,Belach / 2,1 ring,https://edtools.cc/pve?s=Belach&a=rt
118.91,Jaitrics,,359,"1,892",,4,,3,Kisinga / 2,1 ring,https://edtools.cc/pve?s=Kisinga&a=rt
119.06,Kotian,445,,,,1,,6,Oxlahatta / 2,No rings,https://edtools.cc/pve?s=Oxlahatta&a=rt
119.62,Iadou,,807,,,5,,2,Songye / 2,No rings,https://edtools.cc/pve?s=Songye&a=rt
119.70,Tubalith,173,"19,696","20,457",,1,,4,Lugievisci / 2,1 ring,https://edtools.cc/pve?s=Lugievisci&a=rt
119.74,Trigosan,,281,"1,657",1,2,,4,Dragese / 2,1 ring,https://edtools.cc/pve?s=Dragese&a=rt
119.82,Onuros,6,8,6,2,2,,3,Toyopa / 2,1 ring,https://edtools.cc/pve?s=Toyopa&a=rt
120.42,Jupaga,,456,"3,570",,6,,1,Kokopatji / 2,No rings,https://edtools.cc/pve?s=Kokopatji&a=rt
120.71,HERZ 589,,"2,182",,1,,,3,Marana / 2,1 ring,https://edtools.cc/pve?s=Marana&a=rt
120.96,LTT 2099,253,,253,3,1,,3,LTT 2042 / 2,3 rings,https://edtools.cc/pve?s=LTT+2042&a=rt
121.25,Yutula,,547,,,1,,2,HIP 101031 / 2,5 rings,https://edtools.cc/pve?s=HIP+101031&a=rt
121.56,Khonse,,28,36,,2,,5,Truk / 2,No rings,https://edtools.cc/pve?s=Truk&a=rt
122.04,Ru Shun,12,20,12,,2,,5,Groa / 2,4 rings,https://edtools.cc/pve?s=Groa&a=rt
122.19,HIP 2311,"1,141","1,486","1,138",,2,,5,Kanomota / 2,2 rings,https://edtools.cc/pve?s=Kanomota&a=rt
122.20,Kharaka,,189,"7,795",,2,,5,HIP 2511 / 2,8 rings,https://edtools.cc/pve?s=HIP+2511&a=rt
122.36,Unktety,,92,38,,2,,5,HIP 19198 / 2,1 ring,https://edtools.cc/pve?s=HIP+19198&a=rt
122.98,Cabrala,,16,689,,3,,4,HIP 101031 / 2,5 rings,https://edtools.cc/pve?s=HIP+101031&a=rt
123.04,Balapiru,,"2,472","2,586",,3,,2,Tian Yu / 2,4 rings,https://edtools.cc/pve?s=Tian+Yu&a=rt
123.18,HIP 107847,,108,"1,870",,2,,5,HIP 110248 / 2,11 rings,https://edtools.cc/pve?s=HIP+110248&a=rt
123.43,Chorote,,135,135,1,1,,4,Yu Tun / 2,3 rings,https://edtools.cc/pve?s=Yu+Tun&a=rt
123.46,Lambda Arae,276,"1,846",275,2,,,5,Liburodo / 2,1 ring,https://edtools.cc/pve?s=Liburodo&a=rt
123.72,Parhul,,108,,,4,,3,Dassi / 2,No rings,https://edtools.cc/pve?s=Dassi&a=rt
123.84,Mokpati,"1,142","1,634",,,1,,5,Tian Yu / 2,4 rings,https://edtools.cc/pve?s=Tian+Yu&a=rt
123.91,HIP 5031,,976,"1,005",1,2,,4,HIP 4747 / 2,2 rings,https://edtools.cc/pve?s=HIP+4747&a=rt
124.03,HIP 22611,,617,886,,3,,4,Songye / 2,No rings,https://edtools.cc/pve?s=Songye&a=rt
124.03,Wonghus,,9,,,1,,2,Nogatyanka / 2,2 rings,https://edtools.cc/pve?s=Nogatyanka&a=rt
124.35,Ba Pula,,"10,260",,,5,,2,HIP 105511 / 2,3 rings,https://edtools.cc/pve?s=HIP+105511&a=rt
125.19,Kairos,"121,718","1,825","3,196",3,1,,3,Liburodo / 2,1 ring,https://edtools.cc/pve?s=Liburodo&a=rt
125.33,Katas,,62,"1,931",,3,,4,Irukas / 2,No rings,https://edtools.cc/pve?s=Irukas&a=rt
125.55,HIP 28070,945,,937,,1,,5,Naikun / 2,2 rings,https://edtools.cc/pve?s=Naikun&a=rt
125.79,Vaipacnali,,8,978,,4,,3,HIP 19198 / 2,1 ring,https://edtools.cc/pve?s=HIP+19198&a=rt
126.13,HIP 42727,26,,26,,3,,4,Liu Hut / 2,1 ring,https://edtools.cc/pve?s=Liu+Hut&a=rt
126.21,Hedeinichs,"1,740",,92,1,,,6,Belach / 2,1 ring,https://edtools.cc/pve?s=Belach&a=rt
126.34,Liu Anan,"28,212",86,214,,1,,6,Umair / 2,1 ring,https://edtools.cc/pve?s=Umair&a=rt
126.71,HIP 1173,,204,"2,251",,4,,2,Lugievachis / 2,No rings,https://edtools.cc/pve?s=Lugievachis&a=rt
127.11,HIP 90598,,195,64,1,1,,5,Fu Xianses / 2,4 rings,https://edtools.cc/pve?s=Fu+Xianses&a=rt
127.14,Lumanans,,334,,1,2,,3,Fu Xianses / 2,4 rings,https://edtools.cc/pve?s=Fu+Xianses&a=rt
127.66,Hakkaia,74,,43,1,1,,5,Yu Tun / 2,3 rings,https://edtools.cc/pve?s=Yu+Tun&a=rt
127.93,Latunde,,453,588,,4,,3,Maasates / 2,No rings,https://edtools.cc/pve?s=Maasates&a=rt
128.07,Mankatha,,11,11,,2,,5,Liu Hut / 2,1 ring,https://edtools.cc/pve?s=Liu+Hut&a=rt
128.39,HIP 117471,,"27,292","29,967",,2,,5,Kumbardin / 2,No rings,https://edtools.cc/pve?s=Kumbardin&a=rt
128.47,Khowei,"3,949","4,731","1,540",,4,,4,Arvetii / 2,1 ring,https://edtools.cc/pve?s=Arvetii&a=rt
128.56,HIP 108923,,"4,380",,,1,,6,Umair / 2,1 ring,https://edtools.cc/pve?s=Umair&a=rt
128.66,Blatucadrus,"39,491",,242,,3,,4,Toyopa / 2,1 ring,https://edtools.cc/pve?s=Toyopa&a=rt
128.80,Gamma Indi,,"1,196",,,2,,5,HIP 106700 / 3,10 rings,https://edtools.cc/pve?s=HIP+106700&a=rt
129.06,Devasupai,,5,14,1,1,,5,Ingaman / 2,1 ring,https://edtools.cc/pve?s=Ingaman&a=rt
129.37,HIP 105511,,"2,558",,,2,,5,HIP 101628 / 2,5 rings,https://edtools.cc/pve?s=HIP+101628&a=rt
129.41,HIP 106792,,"1,023","1,024",1,3,,3,Dragese / 2,1 ring,https://edtools.cc/pve?s=Dragese&a=rt
130.19,Wandir,"180,683","180,705","180,682",,1,,5,Ndjala / 2,No rings,https://edtools.cc/pve?s=Ndjala&a=rt
130.58,HIP 100359,,"1,676","2,865",,4,,3,HIP 101628 / 2,5 rings,https://edtools.cc/pve?s=HIP+101628&a=rt
131.23,Ahpuchan,,309,285,,2,,4,HIP 106700 / 3,10 rings,https://edtools.cc/pve?s=HIP+106700&a=rt
131.53,Auste,"1,102","1,489",36,,2,,5,Kwin / 2,1 ring,https://edtools.cc/pve?s=Kwin&a=rt
131.72,Totenis,157,,157,,1,,6,Kundinke / 2,3 rings,https://edtools.cc/pve?s=Kundinke&a=rt
132.36,HIP 13285,,"2,672",,,6,,1,HIP 13317 / 2,No rings,https://edtools.cc/pve?s=HIP+13317&a=rt
132.95,HIP 27609,,"2,942",,1,5,,1,Kwin / 2,1 ring,https://edtools.cc/pve?s=Kwin&a=rt
133.23,Dount,,898,"6,710",1,4,,2,Elbiones / 2,2 rings,https://edtools.cc/pve?s=Elbiones&a=rt
133.41,Shuitabraki,,14,26,,5,,2,Arvetii / 2,1 ring,https://edtools.cc/pve?s=Arvetii&a=rt
133.66,Scirtoi,,"4,232",,,2,,4,HIP 2511 / 2,8 rings,https://edtools.cc/pve?s=HIP+2511&a=rt
134.02,HIP 3540,373,"1,251","221,493",2,,,5,HIP 4312 / 2,5 rings,https://edtools.cc/pve?s=HIP+4312&a=rt
134.42,HIP 113128,"1,843",,"4,561",,4,,3,Shokuju / 2,No rings,https://edtools.cc/pve?s=Shokuju&a=rt
134.46,Raijuhan Yi,"1,531","2,089","36,247",,3,,4,Kumbardin / 2,No rings,https://edtools.cc/pve?s=Kumbardin&a=rt
134.65,Kwikumat,,902,,,2,,1,Wadjedet / 2,No rings,https://edtools.cc/pve?s=Wadjedet&a=rt
135.59,Katola,,591,,4,1,,1,Mirdii / 2,2 rings,https://edtools.cc/pve?s=Mirdii&a=rt
135.75,80 e Piscium,988,"1,928",991,2,,,5,Nokomishi / 2,1 ring,https://edtools.cc/pve?s=Nokomishi&a=rt
136.04,Ceti Sector DL-Y c16,,,57,,4,,1,Zagoro / 2,No rings,https://edtools.cc/pve?s=Zagoro&a=rt
136.04,HIP 101628,,"18,809",,,3,,4,HIP 105511 / 2,3 rings,https://edtools.cc/pve?s=HIP+105511&a=rt
136.21,Irula,397,,"1,633",3,,,5,Borann / 2,6 rings,https://edtools.cc/pve?s=Borann&a=rt
136.93,Belun,,"15,279",,1,4,,2,Elbiones / 2,2 rings,https://edtools.cc/pve?s=Elbiones&a=rt
137.16,HIP 106288,,"2,545",,,1,,2,Ndjala / 2,No rings,https://edtools.cc/pve?s=Ndjala&a=rt
137.46,Ogunnr,"2,731",,,2,,,5,Kared / 2,1 ring,https://edtools.cc/pve?s=Kared&a=rt
138.02,Honir,,35,"1,023",,2,,5,HIP 106714 / 2,3 rings,https://edtools.cc/pve?s=HIP+106714&a=rt
138.69,Hun Nef,,"3,944",,2,1,,2,Skoll / 2,1 ring,https://edtools.cc/pve?s=Skoll&a=rt
138.89,Punabon,703,542,427,,,,7,Wiyo / 2,No rings,https://edtools.cc/pve?s=Wiyo&a=rt
139.18,Apsarillici,686,971,"2,535",2,1,,5,HIP 6712 / 2,No rings,https://edtools.cc/pve?s=HIP+6712&a=rt
139.21,HIP 12907,,155,"1,719",,3,,4,HIP 13317 / 2,No rings,https://edtools.cc/pve?s=HIP+13317&a=rt
139.57,Cliocassi,,252,,,3,,3,Ba Nefes / 2,No rings,https://edtools.cc/pve?s=Ba+Nefes&a=rt
140.00,Nyanga,,"9,165",547,3,1,,3,Tonesh / 2,2 rings,https://edtools.cc/pve?s=Tonesh&a=rt
140.74,HIP 5253,,838,355,2,1,,4,Mirdii / 2,2 rings,https://edtools.cc/pve?s=Mirdii&a=rt
141.12,Tripitaka,"2,791",,"1,526",5,,,2,San Yax / 2,3 rings,https://edtools.cc/pve?s=San+Yax&a=rt
141.27,Arasan,"2,499",989,694,,2,,5,Kundinke / 2,3 rings,https://edtools.cc/pve?s=Kundinke&a=rt
141.55,HIP 6712,,"36,535","34,509",1,,,4,Backluitaji / 2,1 ring,https://edtools.cc/pve?s=Backluitaji&a=rt
141.68,Itelmasa,"1,399","1,824",966,,1,,4,Wadjedet / 2,No rings,https://edtools.cc/pve?s=Wadjedet&a=rt
